stock_code,code,name,market,sector,industry
2013.TW,2013,中鋼構,上市,Basic Materials,Others
2014.TW,2014,中鴻,上市,Basic Materials,Others
2015.TW,2015,豐興,上市,Basic Materials,Others
2017.TW,2017,官田鋼,上市,Basic Materials,Others
2020.TW,2020,美亞,上市,Basic Materials,Others
2022.TW,2022,聚亨,上市,Basic Materials,Others
2023.TW,2023,燁輝,上市,Basic Materials,Others
2024.TW,2024,志聯,上市,Basic Materials,Others
2025.TW,2025,千興,上市,Basic Materials,Others
2027.TW,2027,大成鋼,上市,Basic Materials,Others
2028.TW,2028,威致,上市,Basic Materials,Others
2029.TW,2029,盛餘,上市,Basic Materials,Others
2030.TW,2030,彰源,上市,Basic Materials,Others
2031.TW,2031,新光鋼,上市,Basic Materials,Others
2032.TW,2032,新鋼,上市,Basic Materials,Others
2033.TW,2033,佳大,上市,Basic Materials,Others
2034.TW,2034,允強,上市,Basic Materials,Others
2038.TW,2038,海光,上市,Basic Materials,Others
2049.TW,2049,上銀,上市,Basic Materials,Others
2059.TW,2059,川湖,上市,Basic Materials,Others
2069.TW,2069,運錩,上市,Basic Materials,Others
2101.TW,2101,南港,上市,Basic Materials,Others
2102.TW,2102,泰豐,上市,Basic Materials,Others
2103.TW,2103,台橡,上市,Basic Materials,Others
2104.TW,2104,中橡,上市,Basic Materials,Others
2105.TW,2105,正新,上市,Basic Materials,Others
2106.TW,2106,建大,上市,Basic Materials,Others
2107.TW,2107,厚生,上市,Basic Materials,Others
2108.TW,2108,南帝,上市,Basic Materials,Others
2109.TW,2109,華豐,上市,Basic Materials,Others
2114.TW,2114,鑫永銓,上市,Basic Materials,Others
2115.TW,2115,六暉,上市,Basic Materials,Others
2201.TW,2201,裕隆,上市,Industrials,Others
2204.TW,2204,中華,上市,Industrials,Others
2206.TW,2206,三陽工業,上市,Industrials,Others
2207.TW,2207,和泰車,上市,Industrials,Others
2208.TW,2208,台船,上市,Industrials,Others
2227.TW,2227,裕日車,上市,Industrials,Others
2228.TW,2228,劍麟,上市,Industrials,Others
2231.TW,2231,為升,上市,Industrials,Others
2236.TW,2236,百達,上市,Industrials,Others
2301.TW,2301,光寶科,上市,Technology,Electronics
2302.TW,2302,麗正,上市,Technology,Electronics
2303.TW,2303,聯電,上市,Technology,Semiconductors
2308.TW,2308,台達電,上市,Technology,Electronics
2312.TW,2312,金寶,上市,Technology,Electronics
2313.TW,2313,華通,上市,Technology,Electronics
2314.TW,2314,台揚,上市,Technology,Electronics
2315.TW,2315,神達,上市,Technology,Electronics
2316.TW,2316,楠梓電,上市,Technology,Electronics
